results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,assay_id,analysis_type,datatype,datatype_id,file_access,file_type,replications,comments,document_id,original_assay_type_id
1,1,SDY984GSE79396,1,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
2,1,SDY984GSE79396,2,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
3,1,SDY984GSE79396,3,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
4,1,SDY984GSE79396,4,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
5,1,SDY984GSE79396,5,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
6,1,SDY984GSE79396,6,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
7,1,SDY984GSE79396,7,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
8,1,SDY984GSE79396,8,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
9,1,SDY984GSE79396,9,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
10,1,SDY984GSE79396,10,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
11,1,SDY984GSE79396,11,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
12,1,SDY984GSE79396,12,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
13,1,SDY984GSE79396,13,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
14,1,SDY984GSE79396,14,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
15,1,SDY984GSE79396,15,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
16,1,SDY984GSE79396,16,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
17,1,SDY984GSE79396,17,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
18,1,SDY984GSE79396,18,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
19,1,SDY984GSE79396,19,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
20,1,SDY984GSE79396,20,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
21,1,SDY984GSE79396,21,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
22,1,SDY984GSE79396,22,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
23,1,SDY984GSE79396,23,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
24,1,SDY984GSE79396,24,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
25,1,SDY984GSE79396,25,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
26,1,SDY984GSE79396,26,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
27,1,SDY984GSE79396,27,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
28,1,SDY984GSE79396,28,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
29,1,SDY984GSE79396,29,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
30,1,SDY984GSE79396,30,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
31,1,SDY984GSE79396,31,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
32,1,SDY984GSE79396,32,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
33,1,SDY984GSE79396,33,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
34,1,SDY984GSE79396,34,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
35,1,SDY984GSE79396,35,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
