study_id,study_type,study_type_id,study_name,study_description,reference_id,reference_source,comments
1,Clinical Investigation,OBI_0003697,Zoster vaccine in young and elderly,"Double center, open label study in which adult healthy volunteers will be vaccinated with Zoster vaccine.",SDY984,ImmPort,
289,Clinical Investigation,OBI_0003697,"Systems Biology of 2011 trivalent Influenza vaccine (TIV) in young and elderly individuals, healthy or with T2D (see companion study SDY61 2007, SDY270 2009, SDY56 2010)","Blood samples will be collected at days 0 (pre-vaccination) and 3,7,30,180 after vaccination, and used to Identify signatures of innate immunity, plasmablasts, lymphocytes and monocytes which correlate with antibody responses to the vaccine.",SDY1119,ImmPort,
466,Clinical Investigation,OBI_0003697,"Immunologic and genomic signatures of influenza vaccine response - 2013 (see companion studies SDY63, SDY404, SDY400)",Project 1: Immunologic and genomic signatures of influenza vaccine response - year4 2013,SDY520,ImmPort,
563,Clinical Investigation,OBI_0003697,Immunologic and genomic signatures of influenza vaccine response - 2014,Project 1: Immunologic and genomic signatures of influenza vaccine response - year5 2014,SDY640,ImmPort,
643,Clinical Investigation,OBI_0003697,YFV integrated mulitlineage and polyfunctional responses,Immunization with YF17D leades to an integrated immune response.,SDY1289,ImmPort,
785,Clinical Investigation,OBI_0003697,"Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine.","The goals of the present study were to determine whether there is a gene expression profile that is predictive of an individual's response to the adjuvanted RTS,S malaria vaccine and to identify the time at which that profile can be discerned before challenge.",SDY1293,ImmPort,
1039,Clinical Investigation,OBI_0003697,Time series of global gene expression after trivalent influenza vaccination in humans,The relationship between gene expression patterns and humoral immune response to vaccination was analyzed in order to understand the interindividual variability among immune reponse to vaccination,SDY1276,ImmPort,
1887,Clinical Investigation,OBI_0003697,Correlation between human innate and adaptive immune responses to T-cell independent or dependent meningococcal vaccines.,"Thirty healthy adults (18-45 years of age) with no history of prior meningococcal vaccination and no contraindications to immunization will be vaccinated using either the meningococcal conjugate vaccine (MCV) or the meningococcal non-conjugate polysaccharide vaccine (MPSV). The study will be conducted as a randomized double blinded trial. Vaccine administration will be performed by an unblinded vaccine administrator, who will not be involved in subsequent assessments. Blood samples will be collected on Days D0 (at enrollment) and D3, D7, D14, D30 and D180 post vaccination to study innate and adaptive immunity markers. Even though meningococcal vaccination is considered safe, volunteers are asked to report any local or systemic AEs for 30 days post vaccination and any SAEs for 180 days post vaccination.",SDY1260,ImmPort,
1977,Clinical Investigation,OBI_0003697,A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine.,"In this study, we used a systems vaccinology approach to identify temporal changes in immune response signatures to the yellow fever (YF)-17D vaccine, with the aim of comprehensively characterizing immune responses associated with protective immunity.",SDY1294,ImmPort,
2086,Clinical Investigation,OBI_0003697,Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans,"A major challenge in vaccinology is to prospectively determine vaccine efficacy. Here we have used a systems biology approach to identify early gene signatures that predicted immune responses in humans vaccinated with yellow fever vaccine YF-17D. Vaccination induced genes that regulate virus innate sensing and type I interferon production. Computational analyses identified a gene signature, including complement protein C1qB and eukaryotic translation initiation factor 2 alpha kinase 4, an orchestrator of the integrated stress response that correlated with and predicted YF-17D CD8+ T cell responses with up to 90% accuracy in an independent, blinded trial. A distinct signature, including B cell growth factor TNFRS17, predicted the neutralizing antibody response with up to 100% accuracy. These data highlight the utility of systems biology approaches in predicting vaccine efficacy.",SDY1264,ImmPort,
2173,Clinical Investigation,OBI_0003697,Roles for Treg Expansion and HMGB1 Signaling through the TLR1-2-6 Axis in Determining the Magnitude of the Antigen-Specific Immune Response to MVA85A,Characterization of early gene expression changes after MVA85A vaccination and connection to immune response mechanism and magnitude.,SDY1364,ImmPort,
2269,Clinical Investigation,OBI_0003697,Merck Ad5/HIV induces broad innate immune activation that predicts CD8_ T-cell responses but is attenuated by preexisting Ad5 immunity.,"To better understand how innate immune responses to vaccination can lead to lasting protective immunity, we used a systems approach to define immune signatures in humans over 1 wk following MRKAd5/HIV vaccination that predicted subsequent HIV-specific T-cell responses.",SDY1291,ImmPort,
2319,Clinical Investigation,OBI_0003697,B-cell responses to meningococcal vaccine.,Comparison of plain-polysaccharide and protein-polysaccharide conjugate vaccines.,SDY1325,ImmPort,
2378,Clinical Investigation,OBI_0003697,Systems Biology of 2009 Influenza Vaccination in Humans (See companion studies SDY61 2007 / SDY269 2008 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine),Using a systems biology approach to study innate and adaptive responses to influenza vaccination in humans during the 2009-2010 influenza season.,SDY270,ImmPort,
2461,Clinical Investigation,OBI_0003697,Systems Biology of Varicella Zoster Vaccination,Comparison of VZV vaccination in individuals of different ages to decipher the molecular mechanisms underlying variable vaccine responses.,SDY1368,ImmPort,
2497,Clinical Investigation,OBI_0003697,Transcriptional profiling of yellow fever vaccine-naive participants bafore and after vaccination against yellow fever.,"Mechanisms of poor responses to vaccines remain unknown. Yellow fever-naive adults were vaccinated with a yellow fever vaccine (YF-17D, Stamaril). Transcriptomic profiling of blood collected pre-vaccination and post-vaccination (day 3, 7, 14 and 84) was performed in order to identify candidate biomarkers of antibody response to the vaccine.",SDY1529,ImmPort,
2641,Clinical Investigation,OBI_0003697,"Immunologic and genomic signatures of influenza vaccine response - 2010 (see companion studies SDY400, SDY404, SDY520)",Project 1: Immunologic and genomic signatures of influenza vaccine response.,SDY63,ImmPort,
2713,Clinical Investigation,OBI_0003697,Systems Biology of 2008 Influenza Vaccination in Humans (See companion studies SDY61 2007 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine),Using a systems biology approach to study innate and adaptive responses to influenza vaccination in humans during the 2008-2009 influenza season.,SDY269,ImmPort,
